Episode,AgentID,FinalX,FinalY,TotalReward,FoodCollected,CollisionCount,EpisodeLength,RandomActions,GreedyActions
190,0,1,3,70,30,15,200,35,165
190,1,5,3,98,34,19,200,38,162
190,2,3,8,111,37,24,200,33,167
191,0,7,5,105,31,9,200,36,164
191,1,3,4,-4,28,28,200,45,155
191,2,2,9,-25,25,25,200,38,162
192,0,8,5,152,32,0,200,27,173
192,1,0,5,170,34,1,200,32,168
192,2,6,4,104,28,1,200,38,162
193,0,8,6,60,24,1,200,48,152
193,1,4,1,257,43,4,200,37,163
193,2,6,2,-69,13,3,200,44,156
194,0,5,4,0,28,27,200,40,160
194,1,9,0,54,34,30,200,39,161
194,2,3,6,64,28,11,200,37,163
195,0,9,6,90,30,10,200,32,168
195,1,1,4,383,53,0,200,33,167
195,2,9,5,200,40,10,200,48,152
196,0,6,4,64,28,11,200,48,152
196,1,4,6,173,39,14,200,28,172
196,2,3,5,112,32,10,200,36,164
197,0,2,6,45,23,2,200,36,164
197,1,5,1,-109,17,24,200,37,163
197,2,0,8,-117,17,26,200,36,164
198,0,6,3,-65,13,2,200,38,162
198,1,1,4,-160,8,12,200,47,153
198,2,2,5,-171,7,12,200,40,160
199,0,7,2,181,35,1,200,38,162
199,1,2,0,66,26,5,200,49,151
199,2,3,9,238,42,6,200,48,152
200,0,3,4,86,26,0,200,44,156
200,1,2,3,224,40,4,200,38,162
200,2,3,6,224,40,4,200,38,162
201,0,8,8,108,28,0,200,40,160
201,1,0,2,196,36,0,200,41,159
201,2,3,1,119,29,0,200,37,163
202,0,7,6,164,36,8,200,39,161
202,1,1,3,252,44,8,200,37,163
202,2,0,7,66,30,16,200,40,160
203,0,5,6,67,29,13,200,46,154
203,1,7,7,150,34,6,200,40,160
203,2,0,6,146,34,7,200,42,158
204,0,5,5,-104,12,9,200,38,162
204,1,7,7,-50,14,1,200,33,167
204,2,2,7,79,29,10,200,38,162
205,0,6,6,277,47,10,200,34,166
205,1,6,9,275,45,5,200,47,153
205,2,5,1,116,32,9,200,39,161
206,0,8,8,233,43,10,200,31,169
206,1,1,5,53,27,11,200,41,159
206,2,4,9,181,35,1,200,34,166
207,0,8,6,159,37,12,200,43,157
207,1,0,7,132,32,5,200,44,156
207,2,8,5,127,33,9,200,39,161
208,0,7,2,33,23,5,200,39,161
208,1,2,1,295,45,0,200,32,168
208,2,5,8,77,27,5,200,40,160
209,0,8,6,-120,12,13,200,37,163
209,1,4,6,15,21,4,200,52,148
209,2,3,0,194,42,17,200,43,157
210,0,5,1,25,23,7,200,40,160
210,1,2,8,301,47,4,200,45,155
210,2,6,8,272,44,3,200,37,163
211,0,1,4,-13,25,22,200,44,156
211,1,0,5,284,44,0,200,45,155
211,2,5,4,185,43,22,200,44,156
212,0,6,7,-2,26,22,200,39,161
212,1,3,4,-33,25,27,200,33,167
212,2,8,5,9,27,22,200,42,158
213,0,6,7,367,53,4,200,44,156
213,1,7,7,246,42,4,200,46,154
213,2,2,8,295,45,0,200,39,161
214,0,6,5,163,33,0,200,39,161
214,1,2,2,207,37,0,200,37,163
214,2,2,4,174,34,0,200,44,156
215,0,8,6,232,40,2,200,36,164
215,1,4,0,177,35,2,200,37,163
215,2,5,7,78,26,2,200,40,160
216,0,9,5,122,30,2,200,39,161
216,1,4,2,221,39,2,200,50,150
216,2,5,2,70,26,4,200,41,159
217,0,8,8,194,38,6,200,40,160
217,1,1,6,275,45,5,200,35,165
217,2,5,5,258,42,1,200,32,168
218,0,5,5,126,30,1,200,46,154
218,1,7,9,123,33,10,200,45,155
218,2,6,0,160,36,9,200,34,166
219,0,4,5,177,39,13,200,36,164
219,1,1,8,358,54,9,200,43,157
219,2,3,4,279,45,4,200,30,170
220,0,2,8,29,23,6,200,39,161
220,1,1,5,17,23,9,200,39,161
220,2,9,5,272,44,3,200,38,162
221,0,9,8,282,46,6,200,47,153
221,1,4,2,201,39,7,200,37,163
221,2,8,5,426,58,3,200,32,168
222,0,8,7,122,30,2,200,36,164
222,1,1,1,71,29,12,200,53,147
222,2,1,9,-141,9,10,200,27,173
223,0,5,8,173,35,3,200,42,158
223,1,3,1,306,46,0,200,42,158
223,2,5,4,96,28,3,200,40,160
224,0,2,3,289,47,7,200,47,153
224,1,6,1,127,33,9,200,36,164
224,2,7,4,265,43,2,200,43,157
